Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Density (g/cc)
145,887,C,1,H,1,2.4,0.024,1.201
145,887,C,1,H,1,5,0.05,1.302
145,887,C,1,H,1,5.3,0.053,1.332
145,887,C,1,H,1,7.7,0.077,1.464
145,887,C,1,H,1,10,0.1,1.493
145,887,C,1,H,1,12.3,0.123,1.479
145,887,C,1,H,1,15,0.15,1.415
145,887,C,1,H,1,17.2,0.172,1.413
145,887,C,1,H,1,19.4,0.194,1.573
145,887,C,1,H,1,20,0.2,1.435
145,887,C,1,H,1,21.9,0.219,1.54
145,887,C,1,H,1,24.3,0.243,1.456
145,887,C,1,H,1,25,0.25,1.491
145,887,C,1,H,1,26.7,0.267,1.419
145,887,C,1,H,1,28.9,0.289,1.514
145,887,C,1,H,1,30,0.3,1.48
145,887,C,1,H,1,31.3,0.313,1.509
145,887,C,1,H,1,33.7,0.337,1.451
145,887,C,1,H,1,35,0.35,1.433
145,887,C,1,H,1,35.9,0.359,1.543
145,887,C,1,H,1,38.1,0.381,1.524
145,887,C,1,H,1,40,0.4,1.521
145,887,C,1,H,1,40.6,0.406,1.517
145,887,C,1,H,1,43.1,0.431,1.519
145,887,C,1,H,1,45,0.45,1.535
145,887,C,1,H,1,45.3,0.453,1.561
145,887,C,1,H,1,47.5,0.475,1.536
145,887,C,1,H,1,50,0.5,1.415
145,887,C,1,H,1,52.3,0.523,1.392
145,887,C,1,H,1,55,0.55,1.413
145,887,C,1,H,1,56.8,0.568,1.348
145,887,C,1,H,1,59.3,0.593,1.41
145,887,C,1,H,1,59.9,0.599,1.402
145,887,C,1,H,1,61.9,0.619,1.302
145,887,C,1,H,1,64.1,0.641,1.256
145,887,C,1,H,1,65.1,0.651,1.394
145,887,C,1,H,1,66.2,0.662,1.335
145,887,C,1,H,1,68.5,0.685,1.367
145,887,C,1,H,1,70,0.7,1.452
145,887,C,1,H,1,70.9,0.709,1.326
145,887,C,1,H,1,73.4,0.734,1.348
145,887,C,1,H,1,75,0.75,1.461
145,887,C,1,H,1,75.7,0.757,1.431
145,887,C,1,H,1,77.9,0.779,1.466
145,887,C,1,H,1,80,0.8,1.476
145,887,C,1,H,1,80.3,0.803,1.493
145,887,C,1,H,1,82.8,0.828,1.429
145,887,C,1,H,1,85,0.85,1.545
145,887,C,1,H,1,87.3,0.873,1.552
145,887,C,1,H,1,90.1,0.901,1.544
145,887,C,1,H,1,92.2,0.922,1.493
145,887,C,1,H,1,94.3,0.943,1.488
145,887,C,1,H,1,95,0.95,1.447
145,887,C,1,H,1,96.7,0.967,1.491
145,887,C,1,H,1,99.1,0.991,1.45
145,887,C,1,H,1,100,1,1.518
145,887,C,1,H,1,101.3,1.013,1.435
145,887,C,1,H,1,103.9,1.039,1.46
145,887,C,1,H,1,105,1.05,1.402
145,887,C,1,H,1,106.3,1.063,1.493
145,887,C,1,H,1,108.5,1.085,1.472
145,887,C,1,H,1,110,1.1,1.456
145,887,C,1,H,1,111,1.11,1.568
145,887,C,1,H,1,113.3,1.133,1.469
145,887,C,1,H,1,115.6,1.156,1.463
145,887,C,1,H,1,118,1.18,1.488
145,887,C,1,H,1,120.3,1.203,1.538
145,887,C,1,H,1,122.7,1.227,1.525
145,887,C,1,H,1,124.9,1.249,1.562
145,887,C,1,H,1,127.4,1.274,1.469
145,887,C,1,H,1,129.5,1.295,1.528
145,887,C,1,H,1,132.1,1.321,1.547
145,887,C,1,H,1,134.3,1.343,1.586
145,887,C,1,H,1,136.7,1.367,1.756
145,887,C,1,H,1,139.1,1.391,1.801
145,887,C,1,H,1,141.6,1.416,1.802
145,887,C,1,H,1,143.8,1.438,1.639
145,887,C,1,H,1,146,1.46,1.658
145,887,C,1,H,2,2.4,1.524,1.662
145,887,C,1,H,2,5,1.55,1.602
145,887,C,1,H,2,7.4,1.574,1.515
145,887,C,1,H,2,10,1.6,1.512
145,887,C,1,H,2,12.1,1.621,1.522
145,887,C,1,H,2,15,1.65,1.467
145,887,C,1,H,2,17,1.67,1.502
145,887,C,1,H,2,19.2,1.692,1.578
145,887,C,1,H,2,20,1.7,1.508
145,887,C,1,H,2,21.7,1.717,1.493
145,887,C,1,H,2,24.2,1.742,1.606
145,887,C,1,H,2,25,1.75,1.633
145,887,C,1,H,2,26.7,1.767,1.569
145,887,C,1,H,2,28.8,1.788,1.774
145,887,C,1,H,2,30,1.8,1.702
145,887,C,1,H,2,31.2,1.812,1.715
145,887,C,1,H,2,33.7,1.837,1.726
145,887,C,1,H,2,35,1.85,1.574
145,887,C,1,H,2,36,1.86,1.624
145,887,C,1,H,2,38.2,1.882,1.593
145,887,C,1,H,2,40,1.9,1.635
145,887,C,1,H,2,40.8,1.908,1.566
145,887,C,1,H,2,43.2,1.932,1.549
145,887,C,1,H,2,45.1,1.951,1.496
145,887,C,1,H,2,45.5,1.955,1.543
145,887,C,1,H,2,47.9,1.979,1.557
145,887,C,1,H,2,50,2,1.586
145,887,C,1,H,2,52.5,2.025,1.649
145,887,C,1,H,2,55,2.05,1.601
145,887,C,1,H,2,57.3,2.073,1.629
145,887,C,1,H,2,60,2.1,1.596
145,887,C,1,H,2,61.9,2.119,1.59
145,887,C,1,H,2,64.4,2.144,1.464
145,887,C,1,H,2,65,2.15,1.506
145,887,C,1,H,2,66.8,2.168,1.539
145,887,C,1,H,2,68.9,2.189,1.444
145,887,C,1,H,2,70,2.2,1.553
145,887,C,1,H,2,71.5,2.215,1.561
